beta,gamma,beta_opt,gamma_opt
0.4,0.6000000000000001,0.5083573967330364,0.49164307202125207
0.4,0.7000000000000001,0.5461640844146728,0.5294764184497982
0.4,0.8,1,0.9831780514134202
0.4,0.9,0.6066795642466862,0.5899812282444641
0.4,1,0.6312735464831003,0.6145445333853699
0.5,0,1.1051777462222832e-6,0.9999988897769754
0.5,0.1,0.027265792343969194,0.9806787887024484
0.5,0.2,0.13439829976771916,0.9065747324777931
0.5,0.30000000000000004,0.5765184837527942,0.5598233413512738
0.5,0.4,0.5144110352960622,0.49768134901890565
0.5,0.5,0.5083503422538912,0.4916501739890369
0.5,0.6000000000000001,0.5530477243081077,0.5363432472118637
0.5,0.7000000000000001,0.590303395459033,0.5735760951456486
0.5,0.8,0.6218084539775265,0.605107139149475
0.5,0.9,0.6488260959130977,0.63211345475121306
0.5,1,0.6722506699602363,0.6554992186446011
0.6000000000000001,0,1.178887406929281e-6,0.9999988897769754
0.6000000000000001,0.1,0.03294554224793686,0.9787847482224379
0.6000000000000001,0.2,0.1663311765757583,0.9002842088202669
0.6000000000000001,0.30000000000000004,0.6398164015240084,0.6230606769392274
0.6000000000000001,0.4,0.562525582789297,0.5458324683455176
0.6000000000000001,0.5,0.549848500344902,0.5331277033645825
0.6000000000000001,0.6000000000000001,0.6066798425042993,0.5899809802827178
0.6000000000000001,0.7000000000000001,0.642438669548173,0.6257333269462704
0.6000000000000001,0.8,0.6722535625488884,0.6554928783166437
0.6000000000000001,0.9,0.6974668166171165,0.6807000614956955
0.6000000000000001,1,0.7190772012597005,0.7023090694725133
0.7000000000000001,0,1.2871693052470908e-6,0.9999988897769754
0.7000000000000001,0.1,0.03946582051082334,0.976811881907679
0.7000000000000001,0.2,0.2170223973356138,0.8844602000502846
0.7000000000000001,0.30000000000000004,0.6114129050416183,0.5947124974911964
0.7000000000000001,0.4,0.6925507788971674,0.6758017886182535
0.7000000000000001,0.5,0.6198962118162716,0.6031948241015609
0.7000000000000001,0.6000000000000001,0.5917200779196802,0.5749785878349932
0.7000000000000001,0.7000000000000001,0.7050158760232489,0.6882976613587184
0.7000000000000001,0.8,0.731838120599008,0.7150999146526997
0.7000000000000001,0.9,0.754193903767624,0.7374192125222081
0.7000000000000001,1,1,0.9831923251427076
0.8,0,1.417213731507173e-6,0.9999988897769754
0.8,0.1,0.04687870800516575,0.974789055556812
0.8,0.2,0.30796798661313096,0.852192678062579
0.8,0.30000000000000004,0.6282651110878796,0.6115622258265717
0.8,0.4,0.6532449318721633,0.6365378145203022
0.8,0.5,0.6584309141956861,0.6416760249080622
0.8,0.6000000000000001,0.7302956984657871,0.7135403243935631
0.8,0.7000000000000001,0.7895721459513306,0.772829848172333
0.8,0.8,0.8033514885452439,0.7865954547753774
0.8,0.9,0.8212269385136101,0.8044821825189339
0.8,1,0.8361272008729373,0.8193671962580532
0.9,0,1.5617785192913075e-6,0.9999988897769754
0.9,0.1,0.055256553318224266,0.9726929544863196
0.9,0.2,0.622805403837194,0.6058821591314181
0.9,0.30000000000000004,0.7382508737025096,0.7215252813703467
0.9,0.4,0.6416576498333609,0.6249018070449116
0.9,0.5,0.7615943254204367,0.7448641438363793
