region,time,air_freight_loaded,air_freight_unloaded,air_passengers_arrived,air_passengers_departed,area,tourist_arrivals,hospital_stay,broadband_access,death_rate_all,death_rate_hiv,death_rate_influenza,death_rate_tb,death_rate_viralhepatitis,disposable_income,gdp_per_inhabitant,medical_doctors,nurses_midwives,Available beds in hospitals (HP.1),curative_care_beds,longterm_care_beds,other_beds,psychiatric_care_beds,rehabilitative_care_beds,internet_contact_authorities,length_electrified_railway,length_motorways,length_other_roads,length_large_railway,length_railway,maritime_freight_loaded,maritime_freight_unloaded,maritime_passengers_disembarked,maritime_passengers_embarked,median_age,lower_education,tertiary_education,higher_education,population_density,population_numbers,risk_of_poverty_or_social_exclusion
Toscana,1993,2.0,1.0,386.0,394.0,22988.0,,,,,,,,,,,20742.0,,22285.0,21794.0,491.0,0.0,1548.0,,,875.0,414.0,10781.0,722.0,1407.0,,,,,42.8,,,,155.3,3521712.0,
Umbria,1993,,,,,8464.0,,,,,,,,,,,5067.0,,5181.0,5151.0,30.0,0.0,218.0,,,358.0,64.0,4207.0,182.0,379.0,,,,,42.4,,,,98.4,810885.0,
Valle d'Aosta/Vallée d'Aoste,1993,,,,,3261.0,592338.0,,,,,,,,,,514.0,,469.0,469.0,0.0,0.0,0.0,,,0.0,93.0,649.0,0.0,83.0,,,,,40.0,,,,35.9,116244.0,
Veneto,1993,3.0,2.0,788.0,802.0,18407.0,,,,,,,,,,,20612.0,,33253.0,31269.0,1984.0,0.0,3524.0,,,589.0,449.0,9570.0,518.0,1103.0,,,,,38.3,,,,250.4,4388825.0,
Abruzzo,1994,,,,,10833.0,916678.0,,,,,,,,,,7767.0,,9851.0,9724.0,127.0,0.0,1725.0,,,297.0,319.0,7382.0,91.0,533.0,,,,,38.8,,,,117.5,1252332.0,
Basilicata,1994,,,,,10073.0,199348.0,,,,,,,,,,2591.0,,3982.0,3648.0,334.0,0.0,894.0,,,205.0,40.0,4817.0,17.0,345.0,,,,,35.3,,,,62.8,610022.0,
Calabria,1994,,0.0,0.0,1.0,15222.0,718667.0,,,,,,,,,,12589.0,,12011.0,12011.0,0.0,0.0,965.0,,,402.0,279.0,9216.0,253.0,855.0,,,,,34.0,,,,140.1,2067242.0,
Campania,1994,2.0,1.0,431.0,437.0,13670.0,2349527.0,,,,,,,,,,32146.0,,28297.0,27874.0,423.0,0.0,4384.0,,,710.0,445.0,9515.0,483.0,977.0,,,,,32.4,,,,424.2,5674718.0,
Centro (IT),1994,143.0,111.0,6215.0,6185.0,58085.0,,,,,,,,,,,,,,,,,,,,,1155.0,31496.0,,,,,,,,,,,,,
Emilia-Romagna,1994,3.0,1.0,547.0,540.0,22453.0,,,,,,,,,,,24650.0,,26704.0,26583.0,121.0,0.0,2064.0,,,,633.0,10007.0,,,,,,,,,,,,,
Friuli-Venezia Giulia,1994,0.0,0.0,30.0,33.0,7862.0,,,,,,,,,,,5975.0,,9495.0,9479.0,16.0,0.0,214.0,,,375.0,203.0,3351.0,268.0,488.0,,,,,43.0,,,,157.1,1186719.0,
Isole,1994,0.0,0.0,326.0,343.0,49933.0,2947117.0,,,,,,,,,,,,,,,,,,,696.0,582.0,24844.0,123.0,1886.0,,,,,34.7,,,,,6645512.0,
Italy,1994,252.0,186.0,13357.0,13423.0,302073.0,39810200.0,,,,,,,,,,319502.0,,373408.0,360381.0,13027.0,0.0,39115.0,,,10122.0,6469.0,158586.0,5989.0,15954.0,,,,,38.2,,,,,56843444.0,
Lazio,1994,141.0,110.0,5783.0,5741.0,17232.0,,,,,,,,,,,37555.0,,42465.0,37187.0,5278.0,0.0,4693.0,,,882.0,478.0,9521.0,681.0,1100.0,,,,,38.1,,,,305.3,5157006.0,
Liguria,1994,1.0,1.0,127.0,128.0,5416.0,2211082.0,,,,,,,,,,11444.0,,12766.0,12372.0,394.0,0.0,1262.0,,,478.0,374.0,3649.0,277.0,500.0,,,,,45.7,,,,309.0,1652196.0,
Lombardia,1994,95.0,67.0,4221.0,4285.0,23864.0,4359411.0,,,,,,,,,,45323.0,,61497.0,59723.0,1774.0,0.0,6283.0,,,1212.0,560.0,12109.0,578.0,1566.0,,,,,39.3,,,,389.1,8875372.0,
Marche,1994,,,0.0,4.0,9401.0,,,,,,,,,,,7184.0,,9812.0,9714.0,98.0,0.0,540.0,,,,200.0,,,,,,,,,,,,,,
Molise,1994,,,,,4461.0,140630.0,,,,,,,,,,1795.0,,1737.0,1737.0,0.0,0.0,39.0,,,33.0,52.0,2654.0,18.0,250.0,,,,,38.6,,,,75.3,329523.0,
Nord-Est,1994,7.0,4.0,1615.0,1621.0,62327.0,,,,,,,,,,,,,,,,,,,,,1500.0,27307.0,,,,,,,,,,,,,
Nord-Ovest,1994,99.0,71.0,4733.0,4794.0,57928.0,8638286.0,,,,,,,,,,,,,,,,,,,2856.0,1816.0,30157.0,1513.0,3990.0,,,,,40.8,,,,,14918337.0,
Piemonte,1994,3.0,2.0,386.0,381.0,25387.0,1442575.0,,,,,,,,,,20039.0,,25564.0,24850.0,714.0,0.0,1883.0,,,1166.0,788.0,13862.0,657.0,1841.0,,,,,42.0,,,,171.7,4274380.0,
Provincia Autonoma di Bolzano/Bozen,1994,,,,,7398.0,,,,,,,,,,,1771.0,,3124.0,2986.0,138.0,0.0,50.0,,,223.0,207.0,4371.0,127.0,223.0,,,,,34.9,,,,60.4,444327.0,
Provincia Autonoma di Trento,1994,,,,,6207.0,,,,,,,,,,,2108.0,,3935.0,3510.0,425.0,0.0,424.0,,,79.0,,,70.0,144.0,,,,,38.6,,,,74.1,453863.0,
Puglia,1994,0.0,0.0,36.0,43.0,19541.0,1359234.0,,,,,,,,,,19214.0,,27998.0,27506.0,492.0,0.0,4433.0,,,412.0,281.0,11198.0,259.0,851.0,,,,,33.7,,,,211.1,4049795.0,
Sardegna,1994,0.0,0.0,89.0,94.0,24100.0,1081979.0,,,,,,,,,,9587.0,,10060.0,9958.0,102.0,0.0,953.0,,,0.0,,8534.0,17.0,438.0,,,,,34.9,,,,69.1,1650731.0,
Sicilia,1994,0.0,0.0,237.0,249.0,25833.0,1865138.0,,,,,,,,,,29940.0,,25268.0,25135.0,133.0,0.0,3222.0,,,696.0,582.0,16310.0,107.0,1448.0,,,,,34.7,,,,196.8,4994781.0,
Sud,1994,2.0,1.0,468.0,481.0,73800.0,5684084.0,,,,,,,,,,,,,,,,,,,2059.0,1416.0,44782.0,1120.0,3810.0,,,,,33.8,,,,,13983632.0,
Toscana,1994,2.0,1.0,432.0,440.0,22988.0,,,,,,,,,,,21139.0,,21122.0,20644.0,478.0,0.0,1455.0,,,878.0,413.0,10809.0,727.0,1407.0,,,,,43.1,,,,154.9,3515048.0,
Umbria,1994,,,,,8464.0,,,,,,,,,,,5165.0,,4774.0,4744.0,30.0,0.0,119.0,,,358.0,64.0,4217.0,182.0,379.0,,,,,42.6,,,,98.5,812455.0,
