Date,ABR,BAS,BZ,CAL,CAM,EMR,FVG,LAZ,LIG,LOM,MAR,MOL,PIE,PUG,SAR,SIC,TN,TOS,UMB,VDA,VEN
2020-02-10,15631.306849315068,3488.38904109589,21506.655525114147,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10309.609461187212,223546.4794520548,22794.070210045655,8614.253698630135,171581.56821917804
2020-02-11,15631.306849315068,3488.38904109589,21646.309132420083,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10376.554977168948,223546.4794520548,22942.083652968027,8670.190410958901,172695.73424657527
2020-02-12,15631.306849315068,3488.38904109589,21785.96273972602,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10443.500493150681,223546.4794520548,23090.0970958904,8726.127123287668,173809.9002739725
2020-02-13,15631.306849315068,3488.38904109589,21925.61634703196,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10510.446009132418,223546.4794520548,23238.11053881278,8782.063835616436,174924.0663013698
2020-02-14,15631.306849315068,3488.38904109589,22065.2699543379,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10577.391525114155,223546.4794520548,23386.123981735156,8838.000547945205,176038.2323287671
2020-02-15,15631.306849315068,3488.38904109589,22204.92356164383,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10644.337041095889,223546.4794520548,23534.13742465753,8893.937260273971,177152.39835616434
2020-02-16,15631.306849315068,3488.38904109589,22344.577168949767,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10711.282557077624,223546.4794520548,23682.1508675799,8949.873972602738,178266.56438356158
2020-02-17,15631.306849315068,3488.38904109589,22484.230776255707,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10778.228073059361,223546.4794520548,23830.16431050228,9005.810684931506,179380.73041095887
2020-02-18,15631.306849315068,3488.38904109589,22623.884383561646,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10845.173589041098,223546.4794520548,23978.177753424658,9061.747397260275,180494.89643835617
2020-02-19,15631.306849315068,3488.38904109589,22763.53799086758,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10912.119105022832,223546.4794520548,24126.19119634703,9117.684109589041,181609.0624657534
2020-02-20,15631.306849315068,3488.38904109589,22903.191598173515,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,10979.064621004567,223546.4794520548,24274.204639269406,9173.620821917808,182723.22849315067
2020-02-21,15631.306849315068,3488.38904109589,23042.845205479454,20358.238356164384,327977.06575342466,128001.64383561644,21050.405479452056,475124.64657534246,120390.4410958904,614974.2219178082,29086.2301369863,4388.953424657534,138878.52602739725,45527.43561643836,11232.11506849315,32257.460273972603,11046.010136986302,223546.4794520548,24422.218082191783,9229.557534246576,183837.39452054794
