Date,Code,Confirmed,Deaths,ICU,incidenceRate,populationBaseline,Recovered,susceptiblePopulation,susceptibleRate,Tested,TestedPositive,totalPopulation,region,populationDensity,airPassengersArrived,airPassengersDeparted,touristArrivals,broadbandAccess,deathRateDiabetes,deathRateInfluenza,deathRateChd,deathRateCancer,deathRatePneumonia,availableBeds,maritimePassengersDisembarked,maritimePassengersEmbarked,riskOfPovertyOrSocialExclusion,railTravelers
2020-02-03,ABR,0,0,NA,0,1309703.0414338321,NA,1309719.1565284922,1,NA,0,1309719.1565284922,Abruzzo,121.5,324,332,1441899,84,37.83,0.76,154.49,257.63,14.5,4087,271.02716049382695,274.47489711934134,30.1,15631.306849315068
2020-02-03,BAS,0,0,NA,0,562063.4968730995,NA,562070.4127205629,1,NA,0,562070.4127205629,Basilicata,56.4,980.196808510638,990.1046099290777,749956,78,46.68,0.52,122.72,236.18,8.39,1720,1046.8492907801415,1030.6365248226948,39.2,3488.38904109589
2020-02-03,BZ,0,0,NA,0,530417.8488103967,NA,530424.3752775213,1,NA,0,530424.3752775213,Provincia Autonoma di Bolzano/Bozen,71.8,163.69220055710326,165.34679665738182,2576564,85,14.16,1.72,76.93,232.12,19.9,1919,174.82311977715898,172.11559888579407,12.9,20948.04109589041
2020-02-03,CAL,0,0,NA,0,1944344.525511291,NA,1944368.4494811445,1,NA,0,1944368.4494811445,Calabria,128.6,1597,1629,1486385,77,50.41,0.36,105.14,231.17,5.95,4150,4638,4697,44.5,20358.238356164384
2020-02-03,CAM,0,0,NA,0,5793389.391316072,NA,5793460.675428187,1,NA,0,5793460.675428187,Campania,426.4,4923,4980,3354019,79,49.38,0.55,119.54,243.34,5.58,15347,11754,11751,53.6,327977.06575342466
2020-02-03,EMR,0,0,NA,0,4453095.190613017,NA,4453149.983224974,1,NA,0,4453149.983224974,Emilia-Romagna,201.7,4464,4480,8355467,88,30.55,0.63,111.03,300.78,28.1,16316,261.21864154685153,259.8116013882001,14.2,128001.64383561644
2020-02-03,FVG,0,0,NA,0,1213480.9390286691,NA,1213495.8701692268,1,NA,0,1213495.8701692268,Friuli-Venezia Giulia,160.5,383,386,1237869,87,23.7,0.41,137.1,333.49,35.26,4268,7.970093457943944,8.254205607476655,13.6,21050.405479452056
2020-02-03,LAZ,0,0,NA,0,5870668.641058035,NA,5870738.87604404,0.9999996593274951,NA,2,5870740.87604404,Lazio,347.2,24368,24339,4606265,87,33.85,0.42,117.86,275.52,18.07,19483,1265,1272,27.5,475124.64657534246
2020-02-03,LIG,0,0,NA,0,1548420.9306096144,NA,1548439.982981855,1,NA,0,1548439.982981855,Liguria,287.3,731,729,2550375,84,39.28,0.7,139.59,350.21,27.23,5517,1292,1326,18.8,120390.4410958904
2020-02-03,LOM,0,0,NA,0,10046176.646769648,NA,10046300.258827126,1,NA,0,10046300.258827126,Lombardia,436,23215,23081,7661191,87,23.02,0.46,96.33,296.11,21.33,35870,258.8036697247713,258.7376146788997,15.7,614974.2219178082
