date,code,recovered,deaths,infectives,tested
2020-03-15,VEN,120,63,2172,32546
2020-03-16,ABR,7,4,176,1533
2020-03-16,BAS,0,0,12,230
2020-03-16,CAL,1,1,89,1030
2020-03-16,CAM,28,9,400,2517
2020-03-16,EMR,88,346,3522,13096
2020-03-16,FVG,18,22,386,4851
2020-03-16,LAZ,32,19,523,9330
2020-03-16,LIG,42,50,667,2189
2020-03-16,LOM,2368,1420,14649,43565
2020-03-16,MAR,0,57,1242,3225
2020-03-16,MOL,5,1,21,253
2020-03-16,BZ,0,6,241,1740
2020-03-16,TN,5,6,378,1006
2020-03-16,PIE,0,111,1516,5588
2020-03-16,PUG,2,16,230,2017
2020-03-16,SAR,0,2,107,797
2020-03-16,SIC,8,2,213,2653
2020-03-16,TOS,11,14,866,5910
2020-03-16,UMB,4,1,164,1093
2020-03-16,VDA,0,2,105,287
2020-03-16,VEN,130,69,2473,35052
2020-03-17,ABR,7,6,229,1688
2020-03-17,BAS,0,0,20,262
2020-03-17,CAL,1,1,114,1293
2020-03-17,CAM,28,9,460,2685
2020-03-17,EMR,134,393,3931,14510
2020-03-17,FVG,17,30,394,4958
2020-03-17,LAZ,34,23,607,9436
2020-03-17,LIG,57,60,778,2509
2020-03-17,LOM,2485,1640,16220,46449
2020-03-17,MAR,0,69,1371,3225
2020-03-17,MOL,5,1,25,301
2020-03-17,BZ,1,8,291,2149
2020-03-17,TN,10,7,385,1727
2020-03-17,PIE,0,133,1897,6543
2020-03-17,PUG,2,18,340,3077
2020-03-17,SAR,0,2,117,1003
2020-03-17,SIC,8,3,237,2916
2020-03-17,TOS,12,17,1053,6727
2020-03-17,UMB,4,1,197,1323
2020-03-17,VDA,0,2,136,398
2020-03-17,VEN,136,80,2704,35478
2020-03-18,ABR,7,7,263,2054
2020-03-18,BAS,0,0,27,262
2020-03-18,CAL,2,1,129,1668
2020-03-18,CAM,28,9,460,2685
2020-03-18,EMR,152,458,4525,15461
2020-03-18,FVG,15,31,462,4958
2020-03-18,LAZ,42,32,724,11145
2020-03-18,LIG,70,73,887,2912
2020-03-18,LOM,3488,1959,17713,48983
2020-03-18,MAR,0,92,1568,4109
2020-03-18,MOL,6,1,28,361
2020-03-18,BZ,1,9,376,2844
2020-03-18,TN,12,7,455,2187
2020-03-18,PIE,0,154,2341,7516
2020-03-18,PUG,2,19,383,3433
2020-03-18,SAR,0,2,134,1135
2020-03-18,SIC,12,3,282,3294
2020-03-18,TOS,17,22,1330,7606
2020-03-18,UMB,4,2,247,1601
2020-03-18,VDA,0,3,165,486
2020-03-18,VEN,167,94,3214,40841
2020-03-19,ABR,8,11,385,2409
2020-03-19,BAS,0,0,37,353
2020-03-19,CAL,2,3,169,2342
2020-03-19,CAM,30,17,652,3544
2020-03-19,EMR,177,531,5214,18344
2020-03-19,FVG,41,36,599,4052
2020-03-19,LAZ,44,38,823,11145
2020-03-19,LIG,85,91,1059,3348
2020-03-19,LOM,3778,2168,19884,52244
2020-03-19,MAR,0,115,1737,4512
2020-03-19,MOL,6,2,46,426
2020-03-19,BZ,1,14,436,3568
2020-03-19,TN,20,12,523,2203
2020-03-19,PIE,3,175,2932,8853
2020-03-19,PUG,4,25,478,4046
2020-03-19,SAR,0,2,206,1334
2020-03-19,SIC,15,4,340,3961
2020-03-19,TOS,22,38,1482,8873
2020-03-19,UMB,4,2,334,1954
2020-03-19,VDA,0,6,215,608
2020-03-19,VEN,200,115,3484,44658
2020-03-20,ABR,10,17,449,2695
2020-03-20,BAS,0,0,52,443
2020-03-20,CAL,2,4,207,2690
2020-03-20,CAM,30,17,749,3845
2020-03-20,EMR,239,640,5968,20753
2020-03-20,FVG,63,38,656,4964
2020-03-20,LAZ,53,43,1008,13889
2020-03-20,LIG,101,119,1221,3794
2020-03-20,LOM,4295,2549,22264,57174
2020-03-20,MAR,0,137,1981,5170
2020-03-20,MOL,6,5,50,426
2020-03-20,BZ,1,17,548,4433
2020-03-20,TN,29,13,642,2656
2020-03-20,PIE,8,209,3461,9975
2020-03-20,PUG,4,26,581,4789
2020-03-20,SAR,3,2,293,1912
2020-03-20,SIC,25,4,408,4468
2020-03-20,TOS,33,47,1793,10405
2020-03-20,UMB,4,7,395,2303
2020-03-20,VDA,0,7,264,814
2020-03-20,VEN,223,131,4031,49288
2020-03-21,ABR,13,22,529,3035
2020-03-21,BAS,0,0,66,522
2020-03-21,CAL,5,5,235,3050
2020-03-21,CAM,29,22,844,4448
2020-03-21,EMR,329,715,6705,24620
2020-03-21,FVG,82,42,790,5955
2020-03-21,LAZ,54,50,1190,13889
2020-03-21,LIG,125,152,1436,4304
2020-03-21,LOM,5050,3095,25515,66730
2020-03-21,MAR,2,154,2153,5740
2020-03-21,MOL,7,7,61,449
2020-03-21,BZ,1,20,621,5179
2020-03-21,TN,34,28,782,2656
2020-03-21,PIE,8,238,3752,10701
2020-03-21,PUG,4,29,675,5617
2020-03-21,SAR,5,4,330,2297
2020-03-21,SIC,26,6,490,4883
2020-03-21,TOS,35,72,2012,11909
2020-03-21,UMB,5,10,462,2712
2020-03-21,VDA,1,8,313,884
2020-03-21,VEN,257,146,4617,53642
2020-03-22,ABR,15,33,587,3375
2020-03-22,BAS,0,0,81,643
2020-03-22,CAL,5,8,273,3666
2020-03-22,CAM,41,29,936,4943
2020-03-22,EMR,349,816,7555,28022
2020-03-22,FVG,89,47,874,6761
2020-03-22,LAZ,58,53,1383,17845
2020-03-22,LIG,143,171,1665,4995
2020-03-22,LOM,5865,3456,27206,70598
2020-03-22,MAR,6,184,2421,6391
2020-03-22,MOL,7,7,66,532
2020-03-22,BZ,7,23,678,5718
2020-03-22,TN,34,35,954,3050
2020-03-22,PIE,10,283,4420,12701
2020-03-22,PUG,7,31,786,6160
2020-03-22,SAR,5,7,339,2402
2020-03-22,SIC,26,8,630,5580
2020-03-22,TOS,42,91,2277,13264
2020-03-22,UMB,5,16,521,3135
2020-03-22,VDA,1,9,364,950
2020-03-22,VEN,309,169,5122,57671
2020-03-23,ABR,20,38,663,3674
2020-03-23,BAS,0,1,90,696
2020-03-23,CAL,5,7,292,4073
2020-03-23,CAM,48,49,1026,5813
2020-03-23,EMR,423,892,8535,31200
2020-03-23,FVG,105,54,930,7424
2020-03-23,LAZ,63,63,1540,18371
2020-03-23,LIG,159,212,1924,5538
2020-03-23,LOM,6075,3776,28761,73242
2020-03-23,MAR,8,203,2569,6782
2020-03-23,MOL,10,7,67,532
2020-03-23,BZ,7,29,724,6084
2020-03-23,TN,68,41,1023,3150
2020-03-23,PIE,17,315,4861,13560
2020-03-23,PUG,7,37,906,6761
2020-03-23,SAR,5,11,359,2568
2020-03-23,SIC,27,13,721,6375
2020-03-23,TOS,51,109,2461,13851
2020-03-23,UMB,5,16,577,3561
2020-03-23,VDA,2,12,393,1098
2020-03-23,VEN,327,192,5505,61115
2020-03-24,ABR,21,46,689,4294
2020-03-24,BAS,0,1,92,744
2020-03-24,CAL,5,10,319,4486
2020-03-24,CAM,53,56,1101,6297
2020-03-24,EMR,558,985,9254,33527
2020-03-24,FVG,80,64,992,8526
2020-03-24,LAZ,103,80,1728,18371
2020-03-24,LIG,193,231,2116,5992
2020-03-24,LOM,6657,4178,30703,76695
2020-03-24,MAR,8,231,2736,7229
2020-03-24,MOL,10,8,73,572
2020-03-24,BZ,44,38,781,6509
2020-03-24,TN,79,56,1110,3712
2020-03-24,PIE,17,374,5515,15469
2020-03-24,PUG,21,44,1005,7345
2020-03-24,SAR,11,15,421,2859
2020-03-24,SIC,27,20,846,7170
2020-03-24,TOS,51,129,2699,15701
2020-03-24,UMB,5,19,648,4108
2020-03-24,VDA,2,19,400,1180
2020-03-24,VEN,381,216,5948,66178
2020-03-25,ABR,23,52,813,4982
2020-03-25,BAS,0,1,113,857
2020-03-25,CAL,7,11,351,5058
2020-03-25,CAM,53,74,1199,6972
2020-03-25,EMR,721,1077,10054,38045
2020-03-25,FVG,158,70,1139,9494
2020-03-25,LAZ,131,95,1901,20669
2020-03-25,LIG,225,254,2305,6602
2020-03-25,LOM,7281,4474,32346,81666
2020-03-25,MAR,8,287,2934,7896
2020-03-25,MOL,12,8,73,580
2020-03-25,BZ,67,43,858,6649
2020-03-25,TN,90,74,1222,4114
2020-03-25,PIE,19,449,6024,16655
2020-03-25,PUG,22,48,1093,8223
2020-03-25,SAR,12,18,442,3019
2020-03-25,SIC,33,25,994,8312
2020-03-25,TOS,54,142,2972,17868
2020-03-25,UMB,5,19,710,4707
2020-03-25,VDA,2,24,401,1200
