date,code,deaths,incidenceRate,populationBaseline,recovered,susceptiblePopulation,susceptibleRate,tested,testedPositive,totalPopulation,region,touristArrivals,broadbandAccess,dischargeRateDiabetes,dischargeRateHypertension,dischargeRateCancer,dischargeRateChd,dischargeRateTB,availableBeds,riskOfPovertyOrSocialExclusion,medianAge,populationDensity,railTravelers
2020-02-25,ABR,0,0,1309585,0,1309585,1,0,0,1309585,Abruzzo,1441899,84,48.8,73.1,1029.6,111.5,7.7,4087,30.1,47.4,121.5,-46825
2020-02-25,BAS,0,0,562013,0,562013,1,0,0,562013,Basilicata,749956,78,22,47.3,989.9,110.8,7.6,1720,39.2,47,56.4,-24383
2020-02-25,BZ,0,1.8854761770085034e-6,530370,0,530369,0.999998114523823,0,1,530370,Provincia Autonoma di Bolzano/Bozen,2576564,85,69.8,51.3,941.1,47.7,7,1919,12.9,44,71.8,-243937
2020-02-25,CAL,0,0,1944169,0,1944169,1,1,0,1944169,Calabria,1486385,77,35.5,49.8,605.2,121.3,10.1,4150,44.5,45.2,128.6,-2292441
2020-02-25,CAM,0,0,5792867,0,5792867,1,0,0,5792867,Campania,3354019,79,43.9,66.5,863.5,191,7,15347,53.6,43.4,426.4,-894685
2020-02-25,EMR,0,1.7966655235382273e-6,4452693,0,4452685,0.9999982033344764,243,8,4452693,Emilia-Romagna,8355467,88,81,73.1,1424.7,105.4,10.8,16316,14.2,47.5,201.7,-483443
2020-02-25,FVG,0,0,1213371,0,1213371,1,31,0,1213371,Friuli-Venezia Giulia,1237869,87,38.6,63.9,1352.8,81.9,6.5,4268,13.6,49.2,160.5,-10911691
2020-02-25,LAZ,0,0,5870139,0,5870139,1,0,0,5870139,Lazio,4606265,87,48.2,64.1,1194.4,126.1,12.8,19483,27.5,46.3,347.2,-841486
2020-02-25,LIG,0,6.458775894039906e-7,1548281,0,1548280,0.9999993541224106,38,1,1548281,Liguria,2550375,84,46.2,52.7,1240.4,94.9,10.6,5517,18.8,50.9,287.3,-11053151
2020-02-25,LOM,3,6.769359172640958e-6,10045267,0,10045196,0.9999932306408273,1745,68,10045264,Lombardia,7661191,87,70.5,27.2,1200.9,142.4,9.7,35870,15.7,46.5,436,-1074598
2020-02-25,MAR,0,0,1522951,0,1522951,1,5,0,1522951,Marche,1872348,86,25.7,43.1,1162,91.1,9.3,4943,17.6,47.9,162.9,4382
2020-02-25,MOL,0,0,305152,0,305152,1,0,0,305152,Molise,127283,77,30.1,49.4,1064.7,339.3,9.4,1130,27.1,48,69.1,-554692
2020-02-25,PIE,0,0,4349779,0,4349779,1,0,0,4349779,Piemonte,3235861,83,27.5,32.1,1046.2,105,7.8,15721,18.7,48.7,173.6,-543843
2020-02-25,PUG,0,0,4022924,0,4022924,1,0,0,4022924,Puglia,3023423,77,43.4,77.9,1149.7,167.8,8.7,11620,35.7,45.7,209.3,-20054
2020-02-25,SAR,0,0,1637097,0,1637097,1,0,0,1637097,Sardegna,1629624,84,53.8,33.6,1015.6,53.1,9.1,5215,35,48.3,69.1,45460
2020-02-25,SIC,0,6.009272307169964e-7,4992285,0,4992282,0.9999993990727692,0,3,4992285,Sicilia,2686092,76,43.8,47.7,864.6,82.6,8.5,13820,51.6,44.9,195.1,-100939
2020-02-25,TN,0,0,540275,0,540275,1,0,0,540275,Provincia Autonoma di Trento,2705981,91,54.9,56.4,712.5,113.9,8.9,1918,20.6,46.1,87.8,-386517
2020-02-25,TOS,0,5.370615429563304e-7,3723968,0,3723966,0.9999994629384571,156,2,3723968,Toscana,6321753,86,28.6,25.1,1221.5,90.6,9.5,11029,19.3,48.4,163.7,-1339293
2020-02-25,UMB,0,0,880673,0,880673,1,8,0,880673,Umbria,1701476,86,40.1,59.5,1277.9,169.6,9.8,2718,19.2,48.3,106.3,22169
2020-02-25,VDA,0,0,125475,0,125475,1,0,0,125475,Valle d'Aosta/Vallée d'Aoste,755502,85,15.8,70.3,1126.9,124.9,6.3,462,14.6,48,38.8,226208
2020-02-25,VEN,0,2.04148668409688e-6,4898391,0,4898381,0.9999979585133159,1580,10,4898391,Veneto,6826396,87,72.4,46,1190.4,98.8,7.4,16812,14.7,47.2,282.8,-4338816
2020-02-26,ABR,0,0,1309580,0,1309585,1,8,0,1309585,Abruzzo,1441899,84,48.8,73.1,1029.6,111.5,7.7,4087,30.1,47.4,121.5,-171690
2020-02-26,BAS,0,0,562011,0,562013,1,0,0,562013,Basilicata,749956,78,22,47.3,989.9,110.8,7.6,1720,39.2,47,56.4,-34832
2020-02-26,BZ,0,0,530368,0,530369,0.999998114523823,0,0,530370,Provincia Autonoma di Bolzano/Bozen,2576564,85,69.8,51.3,941.1,47.7,7,1919,12.9,44,71.8,-325250
2020-02-26,CAL,0,0,1944161,0,1944169,1,1,0,1944169,Calabria,1486385,77,35.5,49.8,605.2,121.3,10.1,4150,44.5,45.2,128.6,-4584882
2020-02-26,CAM,0,0,5792843,0,5792867,1,0,0,5792867,Campania,3354019,79,43.9,66.5,863.5,191,7,15347,53.6,43.4,426.4,-1405934
2020-02-26,EMR,1,4.716248058477883e-6,4452675,0,4452664,0.9999937116692553,186,21,4452692,Emilia-Romagna,8355467,88,81,73.1,1424.7,105.4,10.8,16316,14.2,47.5,201.7,-651597
2020-02-26,FVG,0,0,1213366,0,1213371,1,25,0,1213371,Friuli-Venezia Giulia,1237869,87,38.6,63.9,1352.8,81.9,6.5,4268,13.6,49.2,160.5,-12334955
2020-02-26,LAZ,0,0,5870115,2,5870139,1,0,0,5870139,Lazio,4606265,87,48.2,64.1,1194.4,126.1,12.8,19483,27.5,46.3,347.2,-1202122
2020-02-26,LIG,0,6.458775894039906e-6,1548275,0,1548270,0.9999928953465166,27,10,1548281,Liguria,2550375,84,46.2,52.7,1240.4,94.9,10.6,5517,18.8,50.9,287.3,-11053151
2020-02-26,LOM,0,1.7918891927579006e-6,10045226,0,10045178,0.9999914387516347,0,18,10045264,Lombardia,7661191,87,70.5,27.2,1200.9,142.4,9.7,35870,15.7,46.5,436,-1161727
2020-02-26,MAR,0,6.566199437802004e-7,1522945,0,1522950,0.9999993433800562,7,1,1522951,Marche,1872348,86,25.7,43.1,1162,91.1,9.3,4943,17.6,47.9,162.9,-78884
2020-02-26,MOL,0,0,305151,0,305152,1,0,0,305152,Molise,127283,77,30.1,49.4,1064.7,339.3,9.4,1130,27.1,48,69.1,-554692
2020-02-26,PIE,0,0,4349761,0,4349779,1,15,0,4349779,Piemonte,3235861,83,27.5,32.1,1046.2,105,7.8,15721,18.7,48.7,173.6,-606594
2020-02-26,PUG,0,0,4022908,0,4022924,1,0,0,4022924,Puglia,3023423,77,43.4,77.9,1149.7,167.8,8.7,11620,35.7,45.7,209.3,-100270
2020-02-26,SAR,0,0,1637090,0,1637097,1,0,0,1637097,Sardegna,1629624,84,53.8,33.6,1015.6,53.1,9.1,5215,35,48.3,69.1,-227300
2020-02-26,SIC,0,0,4992265,0,4992282,0.9999993990727692,0,0,4992285,Sicilia,2686092,76,43.8,47.7,864.6,82.6,8.5,13820,51.6,44.9,195.1,-190663
2020-02-26,TN,0,0,540273,0,540275,1,0,0,540275,Provincia Autonoma di Trento,2705981,91,54.9,56.4,712.5,113.9,8.9,1918,20.6,46.1,87.8,-515355
2020-02-26,TOS,0,0,3723953,0,3723966,0.9999994629384571,67,0,3723968,Toscana,6321753,86,28.6,25.1,1221.5,90.6,9.5,11029,19.3,48.4,163.7,-3348234
2020-02-26,UMB,0,0,880669,0,880673,1,0,0,880673,Umbria,1701476,86,40.1,59.5,1277.9,169.6,9.8,2718,19.2,48.3,106.3,-133015
2020-02-26,VDA,0,0,125474,0,125475,1,0,0,125475,Valle d'Aosta/Vallée d'Aoste,755502,85,15.8,70.3,1126.9,124.9,6.3,462,14.6,48,38.8,-16756
2020-02-26,VEN,1,5.716163882418509e-6,4898371,0,4898353,0.9999924464977268,1120,28,4898390,Veneto,6826396,87,72.4,46,1190.4,98.8,7.4,16812,14.7,47.2,282.8,-4839448
2020-02-27,ABR,0,7.636006826590103e-7,1309575,0,1309584,0.9999992363993173,20,1,1309585,Abruzzo,1441899,84,48.8,73.1,1029.6,111.5,7.7,4087,30.1,47.4,121.5,-124865
2020-02-27,BAS,0,0,562009,0,562013,1,0,0,562013,Basilicata,749956,78,22,47.3,989.9,110.8,7.6,1720,39.2,47,56.4,-34832
2020-02-27,BZ,0,0,530366,0,530369,0.999998114523823,1,0,530370,Provincia Autonoma di Bolzano/Bozen,2576564,85,69.8,51.3,941.1,47.7,7,1919,12.9,44,71.8,-243937
2020-02-27,CAL,0,0,1944153,0,1944169,1,11,0,1944169,Calabria,1486385,77,35.5,49.8,605.2,121.3,10.1,4150,44.5,45.2,128.6,-4912374
2020-02-27,CAM,0,5.178782803057622e-7,5792819,0,5792864,0.9999994821217197,0,3,5792867,Campania,3354019,79,43.9,66.5,863.5,191,7,15347,53.6,43.4,426.4,-1917183
